entidad_id,entidad_nombre,sexo,grupo_edad,total
1,Aguascalientes,Hombres,Adolescentes (10-19),117
1,Aguascalientes,Hombres,Adultos (36-59),172
1,Aguascalientes,Hombres,Adultos mayores (60+),47
1,Aguascalientes,Hombres,Infancias (0-9),27
1,Aguascalientes,Hombres,Jóvenes (20-35),218
1,Aguascalientes,Mujeres,Adolescentes (10-19),216
1,Aguascalientes,Mujeres,Adultos (36-59),47
1,Aguascalientes,Mujeres,Adultos mayores (60+),13
1,Aguascalientes,Mujeres,Infancias (0-9),17
1,Aguascalientes,Mujeres,Jóvenes (20-35),107
2,Baja California,Hombres,Adolescentes (10-19),79
2,Baja California,Hombres,Adultos (36-59),229
2,Baja California,Hombres,Adultos mayores (60+),28
2,Baja California,Hombres,Infancias (0-9),8
2,Baja California,Hombres,Jóvenes (20-35),322
2,Baja California,Mujeres,Adolescentes (10-19),61
2,Baja California,Mujeres,Adultos (36-59),45
2,Baja California,Mujeres,Adultos mayores (60+),3
2,Baja California,Mujeres,Infancias (0-9),7
2,Baja California,Mujeres,Jóvenes (20-35),97
3,Baja California Sur,Hombres,Adolescentes (10-19),63
3,Baja California Sur,Hombres,Adultos (36-59),93
3,Baja California Sur,Hombres,Adultos mayores (60+),23
3,Baja California Sur,Hombres,Infancias (0-9),7
3,Baja California Sur,Hombres,Jóvenes (20-35),122
3,Baja California Sur,Mujeres,Adolescentes (10-19),127
3,Baja California Sur,Mujeres,Adultos (36-59),20
3,Baja California Sur,Mujeres,Adultos mayores (60+),2
3,Baja California Sur,Mujeres,Infancias (0-9),5
3,Baja California Sur,Mujeres,Jóvenes (20-35),57
4,Campeche,Hombres,Adolescentes (10-19),19
4,Campeche,Hombres,Adultos (36-59),21
4,Campeche,Hombres,Adultos mayores (60+),5
4,Campeche,Hombres,Infancias (0-9),3
4,Campeche,Hombres,Jóvenes (20-35),35
4,Campeche,Mujeres,Adolescentes (10-19),51
4,Campeche,Mujeres,Adultos (36-59),8
4,Campeche,Mujeres,Adultos mayores (60+),1
4,Campeche,Mujeres,Infancias (0-9),2
4,Campeche,Mujeres,Jóvenes (20-35),15
5,Coahuila,Hombres,Adolescentes (10-19),5
5,Coahuila,Hombres,Adultos (36-59),41
5,Coahuila,Hombres,Adultos mayores (60+),5
5,Coahuila,Hombres,Infancias (0-9),1
5,Coahuila,Hombres,Jóvenes (20-35),56
5,Coahuila,Mujeres,Adolescentes (10-19),8
5,Coahuila,Mujeres,Adultos (36-59),9
5,Coahuila,Mujeres,Adultos mayores (60+),1
5,Coahuila,Mujeres,Infancias (0-9),1
5,Coahuila,Mujeres,Jóvenes (20-35),24
6,Colima,Hombres,Adolescentes (10-19),7
6,Colima,Hombres,Adultos (36-59),11
6,Colima,Hombres,Adultos mayores (60+),0
6,Colima,Hombres,Infancias (0-9),1
6,Colima,Hombres,Jóvenes (20-35),19
6,Colima,Mujeres,Adolescentes (10-19),1
6,Colima,Mujeres,Adultos (36-59),2
6,Colima,Mujeres,Adultos mayores (60+),0
6,Colima,Mujeres,Infancias (0-9),2
6,Colima,Mujeres,Jóvenes (20-35),6
7,Chiapas,Hombres,Adolescentes (10-19),147
7,Chiapas,Hombres,Adultos (36-59),258
7,Chiapas,Hombres,Adultos mayores (60+),57
7,Chiapas,Hombres,Infancias (0-9),63
7,Chiapas,Hombres,Jóvenes (20-35),318
7,Chiapas,Mujeres,Adolescentes (10-19),283
7,Chiapas,Mujeres,Adultos (36-59),50
7,Chiapas,Mujeres,Adultos mayores (60+),11
7,Chiapas,Mujeres,Infancias (0-9),50
7,Chiapas,Mujeres,Jóvenes (20-35),123
8,Chihuahua,Hombres,Adolescentes (10-19),31
8,Chihuahua,Hombres,Adultos (36-59),55
8,Chihuahua,Hombres,Adultos mayores (60+),6
8,Chihuahua,Hombres,Infancias (0-9),6
8,Chihuahua,Hombres,Jóvenes (20-35),80
8,Chihuahua,Mujeres,Adolescentes (10-19),31
8,Chihuahua,Mujeres,Adultos (36-59),10
8,Chihuahua,Mujeres,Adultos mayores (60+),2
8,Chihuahua,Mujeres,Infancias (0-9),0
8,Chihuahua,Mujeres,Jóvenes (20-35),29
9,Ciudad De Mexico,Hombres,Adolescentes (10-19),332
9,Ciudad De Mexico,Hombres,Adultos (36-59),431
9,Ciudad De Mexico,Hombres,Adultos mayores (60+),198
9,Ciudad De Mexico,Hombres,Infancias (0-9),67
9,Ciudad De Mexico,Hombres,Jóvenes (20-35),445
9,Ciudad De Mexico,Mujeres,Adolescentes (10-19),675
9,Ciudad De Mexico,Mujeres,Adultos (36-59),145
9,Ciudad De Mexico,Mujeres,Adultos mayores (60+),87
9,Ciudad De Mexico,Mujeres,Infancias (0-9),73
9,Ciudad De Mexico,Mujeres,Jóvenes (20-35),219
10,Durango,Hombres,Adolescentes (10-19),112
10,Durango,Hombres,Adultos (36-59),136
10,Durango,Hombres,Adultos mayores (60+),34
10,Durango,Hombres,Infancias (0-9),9
10,Durango,Hombres,Jóvenes (20-35),182
10,Durango,Mujeres,Adolescentes (10-19),169
10,Durango,Mujeres,Adultos (36-59),35
10,Durango,Mujeres,Adultos mayores (60+),7
10,Durango,Mujeres,Infancias (0-9),6
10,Durango,Mujeres,Jóvenes (20-35),73
11,Guanajuato,Hombres,Adolescentes (10-19),111
11,Guanajuato,Hombres,Adultos (36-59),222
11,Guanajuato,Hombres,Adultos mayores (60+),36
11,Guanajuato,Hombres,Infancias (0-9),21
11,Guanajuato,Hombres,Jóvenes (20-35),406
11,Guanajuato,Mujeres,Adolescentes (10-19),193
11,Guanajuato,Mujeres,Adultos (36-59),75
11,Guanajuato,Mujeres,Adultos mayores (60+),11
11,Guanajuato,Mujeres,Infancias (0-9),18
11,Guanajuato,Mujeres,Jóvenes (20-35),144
12,Guerrero,Hombres,Adolescentes (10-19),27
12,Guerrero,Hombres,Adultos (36-59),89
12,Guerrero,Hombres,Adultos mayores (60+),21
12,Guerrero,Hombres,Infancias (0-9),2
12,Guerrero,Hombres,Jóvenes (20-35),138
12,Guerrero,Mujeres,Adolescentes (10-19),38
12,Guerrero,Mujeres,Adultos (36-59),16
