entidad_id,sexo,grupo_edad,total
1,Hombres,Adolescentes (10-19),117
1,Mujeres,Adolescentes (10-19),216
1,Hombres,Adultos (36-59),172
1,Mujeres,Adultos (36-59),47
1,Hombres,Adultos mayores (60+),47
1,Mujeres,Adultos mayores (60+),13
1,Hombres,Infancias (0-9),27
1,Mujeres,Infancias (0-9),17
1,Hombres,Jóvenes (20-35),218
1,Mujeres,Jóvenes (20-35),107
2,Hombres,Adolescentes (10-19),79
2,Mujeres,Adolescentes (10-19),61
2,Hombres,Adultos (36-59),229
2,Mujeres,Adultos (36-59),45
2,Hombres,Adultos mayores (60+),28
2,Mujeres,Adultos mayores (60+),3
2,Hombres,Infancias (0-9),8
2,Mujeres,Infancias (0-9),7
2,Hombres,Jóvenes (20-35),322
2,Mujeres,Jóvenes (20-35),97
3,Hombres,Adolescentes (10-19),63
3,Mujeres,Adolescentes (10-19),127
3,Hombres,Adultos (36-59),93
3,Mujeres,Adultos (36-59),20
3,Hombres,Adultos mayores (60+),23
3,Mujeres,Adultos mayores (60+),2
3,Hombres,Infancias (0-9),7
3,Mujeres,Infancias (0-9),5
3,Hombres,Jóvenes (20-35),122
3,Mujeres,Jóvenes (20-35),57
4,Hombres,Adolescentes (10-19),19
4,Mujeres,Adolescentes (10-19),51
4,Hombres,Adultos (36-59),21
4,Mujeres,Adultos (36-59),8
4,Hombres,Adultos mayores (60+),5
4,Mujeres,Adultos mayores (60+),1
4,Hombres,Infancias (0-9),3
4,Mujeres,Infancias (0-9),2
4,Hombres,Jóvenes (20-35),35
4,Mujeres,Jóvenes (20-35),15
5,Hombres,Adolescentes (10-19),5
5,Mujeres,Adolescentes (10-19),8
5,Hombres,Adultos (36-59),41
5,Mujeres,Adultos (36-59),9
5,Hombres,Adultos mayores (60+),5
5,Mujeres,Adultos mayores (60+),1
5,Hombres,Infancias (0-9),1
5,Mujeres,Infancias (0-9),1
5,Hombres,Jóvenes (20-35),56
5,Mujeres,Jóvenes (20-35),24
6,Hombres,Adolescentes (10-19),7
6,Mujeres,Adolescentes (10-19),1
6,Hombres,Adultos (36-59),11
6,Mujeres,Adultos (36-59),2
6,Hombres,Adultos mayores (60+),0
6,Mujeres,Adultos mayores (60+),0
6,Hombres,Infancias (0-9),1
6,Mujeres,Infancias (0-9),2
6,Hombres,Jóvenes (20-35),19
6,Mujeres,Jóvenes (20-35),6
7,Hombres,Adolescentes (10-19),147
7,Mujeres,Adolescentes (10-19),283
7,Hombres,Adultos (36-59),258
7,Mujeres,Adultos (36-59),50
7,Hombres,Adultos mayores (60+),57
7,Mujeres,Adultos mayores (60+),11
7,Hombres,Infancias (0-9),63
7,Mujeres,Infancias (0-9),50
7,Hombres,Jóvenes (20-35),318
7,Mujeres,Jóvenes (20-35),123
8,Hombres,Adolescentes (10-19),31
8,Mujeres,Adolescentes (10-19),31
8,Hombres,Adultos (36-59),55
8,Mujeres,Adultos (36-59),10
8,Hombres,Adultos mayores (60+),6
8,Mujeres,Adultos mayores (60+),2
8,Hombres,Infancias (0-9),6
8,Mujeres,Infancias (0-9),0
8,Hombres,Jóvenes (20-35),80
8,Mujeres,Jóvenes (20-35),29
9,Hombres,Adolescentes (10-19),332
9,Mujeres,Adolescentes (10-19),675
9,Hombres,Adultos (36-59),431
9,Mujeres,Adultos (36-59),145
9,Hombres,Adultos mayores (60+),198
9,Mujeres,Adultos mayores (60+),87
9,Hombres,Infancias (0-9),67
9,Mujeres,Infancias (0-9),73
9,Hombres,Jóvenes (20-35),445
9,Mujeres,Jóvenes (20-35),219
10,Hombres,Adolescentes (10-19),112
10,Mujeres,Adolescentes (10-19),169
10,Hombres,Adultos (36-59),136
10,Mujeres,Adultos (36-59),35
10,Hombres,Adultos mayores (60+),34
10,Mujeres,Adultos mayores (60+),7
10,Hombres,Infancias (0-9),9
10,Mujeres,Infancias (0-9),6
10,Hombres,Jóvenes (20-35),182
10,Mujeres,Jóvenes (20-35),73
11,Hombres,Adolescentes (10-19),111
11,Mujeres,Adolescentes (10-19),193
11,Hombres,Adultos (36-59),222
11,Mujeres,Adultos (36-59),75
11,Hombres,Adultos mayores (60+),36
11,Mujeres,Adultos mayores (60+),11
11,Hombres,Infancias (0-9),21
11,Mujeres,Infancias (0-9),18
11,Hombres,Jóvenes (20-35),406
11,Mujeres,Jóvenes (20-35),144
12,Hombres,Adolescentes (10-19),27
12,Mujeres,Adolescentes (10-19),38
12,Hombres,Adultos (36-59),89
12,Mujeres,Adultos (36-59),16
12,Hombres,Adultos mayores (60+),21
12,Mujeres,Adultos mayores (60+),1
12,Hombres,Infancias (0-9),2
12,Mujeres,Infancias (0-9),4
12,Hombres,Jóvenes (20-35),138
12,Mujeres,Jóvenes (20-35),42
13,Hombres,Adolescentes (10-19),133
13,Mujeres,Adolescentes (10-19),266
13,Hombres,Adultos (36-59),153
13,Mujeres,Adultos (36-59),58
13,Hombres,Adultos mayores (60+),39
13,Mujeres,Adultos mayores (60+),16
13,Hombres,Infancias (0-9),36
13,Mujeres,Infancias (0-9),32
13,Hombres,Jóvenes (20-35),210
13,Mujeres,Jóvenes (20-35),143
14,Hombres,Adolescentes (10-19),26
14,Mujeres,Adolescentes (10-19),6
